GRE,CGPA,Chance
336,9.8,0.97
340,9.92,0.97
340,9.91,0.97
334,9.87,0.97
336,9.76,0.96
340,9.5,0.96
339,9.76,0.96
339,9.8,0.96
333,9.78,0.96
340,9.74,0.96
335,9.82,0.96
337,9.87,0.96
334,9.7,0.95
338,9.66,0.95
336,9.62,0.95
333,9.66,0.95
340,9.06,0.95
328,9.5,0.94
340,9.6,0.94
331,9.8,0.94
332,9.64,0.94
340,9.45,0.94
335,9.56,0.94
334,9.48,0.94
332,9.28,0.94
336,9.53,0.94
331,9.42,0.94
340,9.66,0.94
332,9.47,0.94
334,9.54,0.94
321,9.45,0.93
331,9.38,0.93
334,9.43,0.93
335,9.44,0.93
331,9.36,0.93
330,9.36,0.93
335,9.68,0.93
331,9.26,0.93
334,9.54,0.93
327,9.67,0.93
328,9.6,0.93
330,9.56,0.93
337,9.65,0.92
320,9.22,0.92
322,9.36,0.92
333,9.35,0.92
331,9.44,0.92
336,9.19,0.92
323,9.86,0.92
331,9.44,0.92
324,9.25,0.92
338,9.4,0.91
326,9.4,0.91
338,9.46,0.91
322,9.26,0.91
330,9.31,0.91
338,9.23,0.91
330,9.45,0.91
330,9.23,0.91
325,9.46,0.91
328,9.08,0.91
330,9.34,0.9
340,9.6,0.9
332,9.24,0.9
332,9.36,0.9
329,9.16,0.9
324,9.16,0.9
331,9.34,0.9
330,9.24,0.9
327,9.48,0.9
339,9.7,0.89
333,9.28,0.89
334,9.07,0.89
323,9.23,0.89
327,9.11,0.89
329,9.45,0.89
324,9.08,0.89
324,9.22,0.89
329,9.23,0.89
324,9.25,0.89
329,9.36,0.89
320,9.2,0.88
322,9.1,0.88
324,9.08,0.88
326,9.23,0.88
332,9.1,0.87
329,9.18,0.87
321,8.97,0.87
323,8.98,0.87
327,9.13,0.87
321,9.16,0.87
320,9.27,0.87
332,9.02,0.87
329,9.3,0.86
331,8.96,0.86
321,9.06,0.86
322,9.13,0.86
322,8.94,0.86
329,9.19,0.86
320,9.11,0.86
330,9.17,0.86
324,9.22,0.86
326,9.16,0.86
323,9.32,0.85
320,8.87,0.85
321,9.13,0.85
325,9.17,0.85
321,9.12,0.85
322,8.64,0.85
327,9,0.84
314,9.04,0.84
326,9.1,0.84
329,9.15,0.84
317,8.68,0.84
324,8.97,0.84
328,9.18,0.84
326,9.12,0.84
325,9.11,0.84
320,8.97,0.84
327,9.04,0.84
326,9.11,0.83
327,9.14,0.83
325,9.11,0.83
328,8.77,0.83
321,8.85,0.82
314,8.77,0.82
319,9.04,0.82
328,9.14,0.82
324,9.01,0.82
314,9.02,0.82
324,9.15,0.82
324,9.04,0.82
320,8.86,0.82
320,8.64,0.81
329,9.01,0.81
328,9.02,0.81
312,8.79,0.81
326,9.14,0.81
323,8.74,0.81
324,8.66,0.81
321,8.44,0.81
323,8.88,0.81
322,8.67,0.8
326,9.08,0.8
325,8.96,0.8
326,8.89,0.8
324,8.87,0.8
317,9.11,0.8
321,8.9,0.8
325,9,0.8
